"CityName","CityPopulation","StateProvinceCode","StateProvinceName","StatePopulation"
"201","Agricola",NA,"KS","Kansas",2893957
"202","Agua Dulce",812,"TX","Texas",27506120
"203","Agua Dulce",3342,"CA","California",41460453
"204","Agua Fria",2800,"NM","New Mexico",2345662
"205","Agua Nueva",NA,"TX","Texas",27506120
"206","Aguada",3212,"PR","Puerto Rico (US Territory)",3613149
"207","Aguadilla",13310,"PR","Puerto Rico (US Territory)",3613149
"208","Aguanga",1128,"CA","California",41460453
"209","Aguas Buenas",4204,"PR","Puerto Rico (US Territory)",3613149
"210","Aguas Claras",3006,"PR","Puerto Rico (US Territory)",3613149
"211","Agudo",NA,"NM","New Mexico",2345662
"212","Aguila",798,"AZ","Arizona",6891688
"213","Aguilar",538,"CO","Colorado",5698265
"214","Aguilares",21,"TX","Texas",27506120
"215","Aguilita",4747,"PR","Puerto Rico (US Territory)",3613149
"216","Ahloso",NA,"OK","Oklahoma",3850568
"217","Ahmeek",146,"MI","Michigan",9895622
"218","Ahoskie",5039,"NC","North Carolina",10241982
"219","Ahtanum",3601,"WA","Washington",7540272
"220","Ahwahnee",2246,"CA","California",41460453
"221","Aibonito",8249,"PR","Puerto Rico (US Territory)",3613149
"222","Aid",NA,"OH","Ohio",12514985
"223","'Aiea",9338,"HI","Hawaii",1404054
"224","Aiken",NA,"TX","Texas",27506120
"225","Aiken",29524,"SC","South Carolina",4774839
"226","Ailey",432,"GA","Georgia",9992167
"227","Ainsworth",567,"IA","Iowa",3214032
"228","Ainsworth",1728,"NE","Nebraska",1943256
"229","Ainsworth",NA,"IN","Indiana",6570902
"230","Airmont",8628,"NY","New York",20437172
"231","Airport Drive",698,"MO","Missouri",6262867
"232","Airport Road Addition",93,"TX","Texas",27506120
"233","Airway Heights",6114,"WA","Washington",7540272
"234","Aitkin",2165,"MN","Minnesota",5637195
"235","Ajo",3304,"AZ","Arizona",6891688
"236","Ak Chin",30,"AZ","Arizona",6891688
"237","Akaska",42,"SD","South Dakota",844877
"238","Ak-Chin Village",862,"AZ","Arizona",6891688
"239","Akeley",432,"MN","Minnesota",5637195
"240","Akers",NA,"MO","Missouri",6262867
"241","Akhiok",71,"AK","Alaska",735132
"242","Akiachak",627,"AK","Alaska",735132
